rumi,predicted,true
rapana,راڤان,رڤان
merasa-rasai,مراسا-راساي,مراسا-راساءي
merasai,مراساءي,مراساي
rasam,راسم,رسم
rasmi-rasmian,راسمي٢,راسمي-راسمين
raspberi,رسڤبري,رسبيري
merasuahi,مراسواهي,مرسواهي
perasuah,ڤراسواه,ڤرسواه
kerasulan,کراسولن,کرسولن
dirawai,دراواءي,دراواي
razia,رزيا,رازيا
rebak,ربق,ريبق
kemerebakkan,کمربقکن,کمريبقکن
merebak,مربق,مريبق
reban,ربن,ريبن
tereban,تربن,تريبن
rebat,ربت,ريبت
rebewes,ربيوس,ريبيويس
diredakan,دريضاکن,درداکن
keredaan,کريضاءن,کرداءن
mereda,مريضا,مردا
meredai,مرداي,مرداءي
meredakan,مريضاکن,مرداکن
reda,ردا,رضا
diredai,درداي,دريضاءي
meredai,مرداي,مريضاءي
redang,ردڠ,ريدڠ
redani,ريداني,رداني
redik,رديق,ريديق
meredik,مرديق,مريديق
regan,رݢن,ريݢن
beregister,برايݢيستر,بريݢيستر
merejamkan,مرجمکن,مرجمکم
direjeng,دريجيڠ,درجڠ
direka-reka,دريک٢,دريکا-ريک
mereka-reka,مريک٢,مريکا-ريک
mereka-rekakan,مريک-ريکاکن,مريکا-ريکاکن
perekaan,ڤرايکاءن,ڤريکاءن
reka-rekaan,ريک٢,ريک-ريکاءن
rekal,رکل,ريکل
berekan,بيريکن,برکن
rekanan,ريکنن,رکنن
rekata,ريکات,رکات
mereklamekan,مريکلاميکن,مريکلامکن
reklasering,ريکلاسريڠ,ريکلاسيريڠ
reksa,ريقسا,رقسا
rektifier,ريکتيفيئر,ريکتيفيار
rela,رلا,ريلا
merelai,مرلاي,مريلاءي
merelakan,مرلاکن,مريلاکن
relai,رلاي,ريلاي
merelai,مرلاي,مريلاي
relaps,رلڤس,ريلڤس
relevansi,ريۏلنسي,ريلۏنسي
religi,رليݢي,ريليݢي
reman,ريمن,رمن
remang,ريمڠ,رمڠ
remang-remang,ريمڠ٢,رمڠ٢
berembang,برامبڠ,برمبڠ
merembang,مريمبڠ,مرمبڠ
rembega,رمبيݢا,رمبيݢ
berembik,برامبيق,برمبيق
remeh-temeh,ريميه٢,ريميه-تيميه
remia,ريميا,رميا
remisier,ريميسيير,ريميسيئر
beremos,برايموس,بريموس
perempahan,ڤرامڤهن,ڤرمڤهن
rempah-rempah,رمڤه-رمڤه,رمڤه٢
berempak,برامڤق,برمڤق
rempak,رمڤق,ريمڤق
rempat,رمڤت,ريمڤت
merempat,مرمڤت,مريمڤت
berempuh-rempuh,برامڤوه-رمڤوه,برمڤوه-رمڤوه
rena,رينا,رنا
renal,رنل,رينل
berenang-renang,برايڠڠ-رنڠ,برنڠ-رنڠ
berencana,برانچان,برنچان
rencang,رنچڠ,رينچڠ
berencetan,براينچيتن,برينچيتن
berenda,برايندا,بريندا
berenda-renda,برايندا-ريندا,بريندا-ريندا
kerendahan,کريندهن,کرندهن
merendah-rendahkan,مرينده-رندهکن,مرنده-رندهکن
perendahan,ڤرايندهن,ڤرندهن
terendah,تراينده,ترنده
berendam,برايندم,برندم
terendam,تراندم,ترندم
rendang,ريندڠ,رندڠ
berendang,برايندڠ,برندڠ
direndang,دريندڠ,درندڠ
merendang,مريندڠ,مرندڠ
perendangan,ڤريندڠن,ڤرندڠن
rendeng,رينديڠ,رندڠ
berendeng,براينديڠ,برينديڠ
rendet,رينديت,رندت
berenga,براڠا,برڠا
berengap,براڠڤ,برڠڤ
rengga,رڠݢ,ريڠݢ
renggang,ريڠݢڠ,رڠ-ݢ-ڠ
berenggang,براڠݢڠ,برڠݢڠ
merenggang,مريڠݢڠ,مرڠݢڠ
merenggangkan,مريڠݢڠکن,مرڠݢڠکن
terenggang,تراڠݢڠ,ترڠݢڠ
berengkel,برايڠکيل,بريڠکيل
berengkel-rengkel,برايڠکيل-ريڠکيل,بريڠکيل-ريڠکيل
merenta-renta,مرنتا-رينتا,مرنتا-رنتا
renta,رنتا,رينتا
berentak,برانتق,برنتق
rentak,رنتق,رينتق
rentan,رينتن,رنتن
berentangan,برانتڠن,برنتڠن
merentang-rentang,مرنتڠ-رينتڠ,مرنتڠ-رنتڠ
rentang,رنتڠ,رينتڠ
merentang-rentang,مرنتڠ-رينتڠ,مرينتڠ-رينتڠ
rente,رينتي,رينتى
reorganisasi,ريورݢانيساسي,ريئورݢانيساسي
reorganisir,ريورݢانيسير,ريئورݢانيسير
mereorganisir,مريورݢانيسير,مريئورݢانيسير
reorientasi,ريوريئينتاسي,ريئوريئينتاسي
rep,رڤ,ريڤ
merepatriaskan,مريڤاترياسکن,مريڤاترياسيکن
repeten,ريڤيتن,ريڤتين
repolper,ريڤولڤر,رڤولڤر
bererakan,برارقن,بررقن
mererak,مريرق,مررق
bererot,برايروت,بريروت
beresah-resah,برايسه-رسه,برسه-رسه
resensi,ريسينسي,رسينسي
reserse,ريسيرسي,رسيرسي
resimen,ريسيمن,رسيمين
beresipi,برايسيڤي,بريسيڤي
beresit,برايسيت,برسيت
resmi,ريسمي,رسمي
respek,ريسڤيق,ريسڤيک
reta,رتا,ريتا
reverend,رۏريند,رۏرند
reyot,ريوت,رييوت
riadah,رياده,رياضه
beriadah,برعاده,برياضه
beriang,براياڠ,برياڠ
riayah,ريايه,رعايه
riba,ريبا,رباء
beribu,برايبو,بريبو
beribut,برايبوت,بريبوت
beridip,برايديڤ,بريديڤ
ridwan,ريدوان,رضوان
rijalulghaib,رجالالحيب,رجالالغيب
rikaz,ريکز,رکاز
berim,برايم,بريم
berima,برايما,بريما
berimba,برايمبا,بريمبا
memperingankan,ممڤرايڠنکن,ممڤريڠنکن
meringani,مريڠاني,مريڠني
beringgi,برايڠݢي,بريڠݢي
beringgit,برايڠݢيت,بريڠݢيت
beringgit-ringgit,برايڠݢيت-ريڠݢيت,بريڠݢيت-ريڠݢيت
teringkuk,ترايڠکوق,تريڠکوق
terintang,تراينتڠ,ترينتڠ
berintik,براينتيق,برينتيق
riparian,ريڤارين,ريڤاريان
risalah,ريساله,رساله
berisik,برايسيق,بريسيق
berisiko,برايسيکو,بريسيکو
riyak,رييق,رياء
meriyakkan,مرييقکن,مرياءکن
perizaban,ڤريذبن,ڤريزبن
rizoid,ريزوءيد,ريزويد
beroda,براودا,برودا
rok,روق,روک
beroket,براوکيت,بروکيت
beroman,براومن,برومن
berombongan,براومبوڠن,برومبوڠن
dironai,دروناي,دروناءي
meronai,مروناي,مروناءي
berondok,براوندوق,بروندوق
berongga,براوڠݢ,بروڠݢ
dironggai,دروڠݢاي,دروڠݢاءي
meronggai,مروڠݢاي,مروڠݢاءي
beronggok,براوڠݢوق,بروڠݢوق
berongkol,براوڠکول,بروڠکول
beropol,براوڤول,بروڤول
beropol-ropol,براوڤول-روڤول,بروڤول-روڤول
berosak,براوسق,بروسق
beroset,براوسيت,بروسيت
berotan,براوتن,بروتن
dirotani,دروتاني,دروتني
merotani,مروتاني,مروتني
beroyal-royal,براويل-رويل,برويل-رويل
ruadat,روادت,روادة
ruah,رواه,رواح
berubah,براوبه,بروبه
perubahan,ڤراوبهن,ڤروبهن
rubai,روباي,رباعي
rubarb,روبرب,روبارب
rubela,روبلا,روبيلا
rubiah,روبيه,روبياه
berugi,براوݢي,بروݢي
ruhulkudus,روهالقدوس,روحالقدس
berujukkan,براوجوقکن,بروجوعکن
dirujuki,دروجوعي,دروجوعکي
perujuk,ڤروجوق,ڤروجوع
terujuk,تراوجوق,تروجوع
rukhsah,رخصه,رخصة
rukuk,روکوق,رکوع
merukuk,مروکوق,مروکوع
rukyatulhilal,روءيةالحلال,روءيةالهلال
berumah,براومه,برومه
berumahkan,براومهکن,برومهکن
berumbai-rumbai,براومباي-رومباي,برومباي-رومباي
berumbai-rumbaikan,براومباي-رومبايکن,برومباي-رومبايکن
berumpun,براومڤون,برومڤون
berumpun-rumpun,براومڤون-رومڤون,برومڤون-رومڤون
beruncit,براونچيت,برونچيت
beruncit-runcit,براونچيت-رونچيت,برونچيت-رونچيت
berunding,براونديڠ,برونديڠ
berungas,براوڠس,بروڠس
berunggas-runggas,براوڠݢس-روڠݢس,بروڠݢس-روڠݢس
dirungkup,دروڠکوڤ,دروڠکوم
beruntun,براونتون,برونتون
beruntun-runtun,براونتون-رونتون,برونتون-رونتون
meruntun-runtun,مرونتون-رونتون,مررونتون-رونتون
berupa,براوڤا,بروڤا
berupa-rupa,براوڤا-روڤا,بروڤا-روڤا
terupa,تراوڤا,تروڤا
berusuh,براوسوه,بروسوه
merutai,مروتاءي,مروتاي
ruwet,روويت,رووت
sabah,سبح,سابه
kesabahan,کسبهن,کسابهن
sabasani,سباساني,ساباساني
sabat,سبت,سابت
sabatikal,سباتيکل,ساباتيکل
sabel,سبل,سابل
disabit,دابت,دسابيت
sabit,سابيت,ابت
bersabit,برابيت,برابت
mensabitkan,منثبيتکن,منثابتکن
sabitan,سابيتن,ابتن
sabitah,سبيطة,ابتة
sad,ساد,سد
sad,ساد,صاد
menyadai,مڽاداءي,مڽاداي
sadarulkalam,صدرالکلم,صدرالکلام
sadaya,ساداي,سداي
sadik,ساديق,صادق
mensadikkan,منساديقکن,منصادقکن
safa,سفا,صفا
safan,صفان,صفا
safan-safa,سفاس٢,صفا-صفا
safari,سفري,سافاري
safi,سافي,صفي
safsaf,صفسف,صفصف
sage,ساݢي,ساݢى
saghir,سغير,صغير
sah,سه,صح
disahkan,دسهکن,دصحکن
kesahan,کسهن,کصحن
pengesah,ڤڠسه,ڤڠصح
pengesahan,ڤڠسهن,ڤڠصحن
bersahaja-sahaja,برسهاج٢,برسهاجا-سهاج
saham,سهم,ساهم
sahara,سهارا,صحراء
saharah,سهارة,سحاره
sahib,صحيب,صاهب
sahibulfadilah,صاهبالفضيله,صاهبالفضيلة
sahibulhikayat,صاهبالحکاتية,صاهبالحکاية
sahih,سحيح,صحيح
disahihkan,دسحيحکن,دصحيحکن
sahir,ساهير,ساهر
sahsiah,شهسية,شخصية
sai,ساي,سعي
bersai,برساي,برسعي
saidani,سايداني,سيداني
saidi,ساءيدي,سيدي
saif,ساءيف,سيف
sailan,ساءيلن,سايلن
sair,ساءير,سعير
saksi,سکسي,سقسي
sakulus,سکولوس,ساکولوس
salad,سلد,سالد
salaf,صلف,سلف
bersalahan,برسلهن,برسالهن
bersalah-salahan,برسله-سالهن,برساله-سالهن
menyalahajarkan,مڽلهاجرکن,مڽالهاجرکن
menyalahgunakan,مڽلهݢوناکن,مڽالهݢوناکن
menyalai,مڽالاءي,مڽالاي
salajur,سلاجور,سالاجور
salak,سلاق,سالق
menyalaki,مڽلاقي,مڽالقي
salakan,سلاءکن,سالقن
menyalami,مڽالمي,مڽلامي
salat,سلة,صلاة
salbi,لبي,صلبي
salbu,لبو,سلبو
disalib,دساليب,دصليب
tersalib,ترسليب,ترصليب
menyalini,مڽليني,مڽاليني
sallallahualaihiwasallam,صلاللحالحلحالحالملم,صلىاللهعليهوسلم
bersaluir,برسلوءير,برسالوءير
menyaluti,مڽلوتي,مڽالوتي
bersama-sama,برسام٢,برساما-سام
menyama-nyama,مڽاما-ڽام,مڽاما-ڽاما
samad,سمد,صمد
samampai,ساممڤاي,سممڤاي
samawi,سموي,سماوي
samba,سامبا,سمبا
bersamba,برسامبا,برسمبا
sambal,سامبل,سمبل
sambalan,سامبلن,سمبلن
disambalewakan,دسمباليواکن,سمباليواکن
sambangan,سامبڠن,سمبڠن
menyambar-nyambar,مڽمبر-ڽامبر,مڽامبر-ڽامبر
menyambat,مڽمبت,مڽامبت
sambur-limbur,سامبور٢,سامبور-ليمبور
bersambut,برسامبوت,برسمبوت
sambut-menyambut,سمبوت-مڽامبوت,سمبوت-مڽمبوت
sampah,سامڤه,سمڤه
sampang,سمڤڠ,سامڤڠ
disampang,دسمڤڠ,دسامڤڠ
menyampang,مڽمڤڠ,مڽامڤڠ
tersampang,ترسمڤڠ,ترسامڤڠ
sampar,سمڤر,سمڤار
sampat,سمڤت,سامڤت
sampel,سمڤل,سامڤل
pensampelan,ڤنسمڤلن,ڤنسامڤلن
sampi,سمڤي,سامڤي
sampil,سمڤيل,سامڤيل
menyampul,مڽمڤول,مڽامڤول
samum,ساموم,سموم
kesanakan,کسانقن,کساناکن
sanat,سانت,سنة
sanatu,ساناتو,سناتو
sanatulhijrah,سنةالحجرة,سنةالهجرة
sanawi,ساناوي,انوي
sanbal,سانبل,سنبل
sanca,سانچا,سنچا
sanda,سندا,ساندا
menyandakan,مڽنداکن,مڽانداکن
sandi,سندي,ساندي
disandingkan,دسانديڠکن,دسنديڠکن
penyandiwarakan,ڤڽنديواراکن,ڤڽنديواراءن
sando,سندو,ساندو
sandung,ساندوڠ,سندوڠ
disandung,دساندوڠ,دسندوڠ
menyandung,مڽاندوڠ,مڽندوڠ
sandungan,ساندوڠن,سندوڠن
tersandung,ترساندوڠ,ترسندوڠ
sangapa,ساڠاڤ,سڠاڤ
disangka,دساڠک,دسڠک
disangkakan,دساڠکاکن,دسڠکاکن
menyangka,مڽاڠک,مڽڠک
menyangkakan,مڽاڠکاکن,مڽڠکاکن
sangkal,سڠکل,ساڠکل
bersangkal,برسڠکل,برساڠکل
penyangkalan,ڤڽڠکلن,ڤڽاڠکلن
sangkalan,سڠکلن,ساڠکلن
menyangkap,مڽاڠکڤ,مڽڠکڤ
sangkil,سڠکيل,ساڠکيل
menyangkut,مڽاڠکوت,مڽڠکوت
sani,ساني,صانع
sanik,سانع,صانع
sanjung,سنجوڠ,سانجوڠ
menyanjung,مڽنجوڠ,مڽانجوڠ
menyanjung-nyanjung,مڽنجوڠ-ڽانجوڠ,مڽانجوڠ-ڽانجوڠ
menyanjung-nyanjungkan,مڽنجوڠ-ڽانجوڠکن,مڽانجوڠ-ڽانجوڠکن
sanjungan,سنجوڠن,سانجوڠن
sanserif,سنسريف,سنسيريف
bersantap,برسنتڤ,برسانتڤ
persantapan,ڤرسنتڤن,ڤرسانتڤن
santapan,سنتڤن,سانتڤن
santir,سانتير,سنتير
santiran,سانتيرن,سنتيرن
sapa-menyapa,سڤا-مڽاڤ,ساڤ-مڽاڤ
sape,سڤي,ساڤي
sapersi,سڤرسي,سڤيرسي
disarai,دساراي,دساراءي
menyarai,مڽاراي,مڽاراءي
sara-bara,سارا٢,سارا-بارا
saraf,سرف,صرف
saraf,سرف,سارف
menyarankan,مڽرنکن,مڽارنکن
bersarang-sarang,برسارڠ٢,برسارڠ-سارڠ
saraya,سراي,سارايا
menyaraya,مڽاراي,مڽارايا
sarer,سارر,سارير
sarih,ساريه,صريح
sasakala,ساساکالا,سساکالا
satah,ساته,سطح
saudara-bersaudara,ساودارا٢ڽ,ساودارا-برساودارا
saudari,ساودري,ساوداري
saukan,ساوکن,ساءوقن
saum,ساءوم,صوم
savana,ساۏان,ساۏانا
sawab,صواب,واب
sayidina,سيدينا,سيدنا
sayugia,سايوݢيا,سيوݢيا
sebak,سيبق,سبق
disebakkan,دسيبقکن,دسبقکن
menyebakkan,مڽيبقکن,مڽبقکن
sebar,سبر,سيبار
ketersebaran,کترسيبرن,کترسيبارن
sebaran,سبرن,سيبارن
sebat,سبت,سيبت
kesebatan,کسبتن,کسيبتن
disebat,دسيبت,دسبت
menyebuk,مڽبوق,مڽبوت
sebum,سبوم,سيبوم
sedak,سدق,سيدق
menyedak,مڽدق,مڽيدق
sedan,سيدن,سدن
sedan-sedu,سدن٢,سدن-سدو
sedatif,سداتيف,سيداتيف
sedimen,سديمن,سيديمن
segak,سݢق,سکق
disegak,دسيݢق,دسݢق
segak,سݢق,سيݢق
menyegak,مڽݢق,مڽيݢق
menyegakkan,مڽݢقکن,مڽيݢقکن
segar-bugar,سݢر٢,سݢر-بوݢر
segara,سݢارا,سݢرا
segel,سݢيل,سيݢيل
bersegi,برسݢي,برس-ݢي
segmen,سيݢمين,سيݢمن
seharah,سهاره,سحاره
seilometer,سايلوميتر,ساءيلوميتر
seismos,سيئسموس,سيسموس
seka,سيکا,سيک
disekai,دسيکاي,دسيکاءي
sekah,سکه,سيکه
sekan,سکن,سيکن
sekeram,سکرم,سکيرم
sekering,سکريڠ,سيکريڠ
seket,سکيت,سيکيت
sekiki,سکيقي,سکيکي
sekonyong-konyong,سکوڽوڠ٢,سکوڽوڠ-کوڽوڠ
sekuriti,سکوريتي,سيکوريتي
bersela-sela,برسلا٢,برسلا-سلا
diselai,دسلاي,دسلاءي
menyelai,مڽلاي,مڽلاءي
sela,سلا,سيلا
menyelakan,مڽلاکن,مڽيلاکن
selabar,سلبر,سلابر
selaberak,سلبرق,سلابرق
diselak,دسيلق,دسلق
selak-selok,سلق-سلوق,سلق-سيلوق
selak,سلق,سيلق
menyelak,مڽلق,مڽيلق
menyelakkan,مڽلقکن,مڽيلقکن
menyelak-nyelak,مڽلق-ڽيلق,مڽيلق-ڽيلق
terselak,ترسلق,ترسيلق
selaman,سلامن,سلمن
selambut,سلمبوت,سلامبوت
selangan,سلاڠن,سلڠن
selatan,سلتن,سلاتن
selawat,سلاوت,صلوات
menyelawatkan,مڽلاوتکن,مڽلواتکن
selebaran,سلبرن,سلبارن
menyelektir,مڽليکتير,مڽيليکتير
selema,سلما,سليما
terselempang,ترسليمڤڠ,ترسلمڤڠ
selempang,سلمڤڠ,سليمڤڠ
selender,سليندير,سليندر
selepang,سلڤڠ,سليڤڠ
selepe,سليڤي,سيليڤي
selepetan,سليڤيتن,سلڤيتن
selidikilah,دليديقيله,دسليديقيله
seloka,سلوک,سلوکا
selokan,سلوکن,سيلوکن
selok-belok,سيلوق٢,سيلوق-بيلوق
selom,سلوم,سيلوم
diselonsongi,دسلونسوڠي,دسلوڠسوڠي
selulase,سلولاسى,سيلولاسى
selumbari,سلومبري,سلومباري
sema,سما,سيما
sema-sema,سما٢,سيما٢
menyemak,مڽيمق,مڽمق
menyemakkan,مڽيمقکن,مڽمقکن
semak,سمق,سيمق
semakan,سماکن,سيمقن
seman,سمن,سيمن
kesemanan,کسمنن,کسيمنن
semandera,سمندرا,سمنديرا
semantah,سمنته,سمانته
semantik,سمنتيق,سمنتيک
semantung,سمنتوڠ,سمانتوڠ
semarai,سماراي,سمراي
disematkan,دسيمتکن,دسمتکن
bersembah,برسيمبه,برسمبه
sembai,سمباي,سيمباي
menyembai,مڽمباءي,مڽيمباي
sembang,سمبڠ,سيمبڠ
sembar,سمبر,سيمبر
disembat,دسيمبت,دسمبت
menyembat,مڽيمبت,مڽمبت
sembat,سمبت,سيمبت
sembeta,سمبتا,سمبيتا
kesembilan-sembilan,کسمبيل-سمبيلن,کسمبيلن-سمبيلن
bersembunyi-sembunyian,برسمبوڽي٢,برسمبوڽي-سمبوڽين
semen,سيمين,سيمن
bersemi,برسيمي,برسمي
semi,سمي,سيمي
semikonduktor,سميکوندوقتور,سيميکوندوکتور
seminar,سمينر,سيمينر
seminari,سمينري,سيمينري
seminaris,سيميناريس,سيمينريس
semiparasit,سميڤاراسيت,سيميڤاراسيت
semipro,سميڤرو,سيميڤرو
semi-profesional,سميڤروفيسيونل,سيميڤروفيسيونل
bersempak-sempak,برسيمڤق-سمڤق,برسمڤق-سمڤق
sempak,سمڤق,سيمڤق
semunian,سمونين,سمونيان
sena,سنا,سينا
tersenak,ترسينق,ترسنق
senamaki,سنامقي,سناماکي
senang-lenang,سنڠ٢,سنڠ-لينڠ
senapati,سناڤتي,سيناڤاتي
senat,سنت,سينت
senator,سناتور,سيناتور
senawi,سناوي,انوي
mempersendakan,ممڤرسينداکن,ممڤرسنداکن
disendak,دسيندق,دسندق
bersendi,برسيندي,برسندي
senen,سينين,سنين
sengangar,سڠاڠر,سڠڠر
sengelat,سڠلت,سڠيلت
senget,سڠيت,سيڠيت
disenggangkan,دسيڠݢڠکن,دسڠ-ݢڠکن
menyenggangkan,مڽيڠݢڠکن,مڽڠݢڠکن
senggolan,سڠݢولن,سيڠݢولن
sengkalan,سڠکلن,سڠکالن
bersengkang,برسيڠکڠ,برسڠکڠ
disengkang,دسيڠکڠ,دسڠکڠ
menyengkang,مڽيڠکڠ,مڽڠکڠ
tersengkang,ترسيڠکڠ,ترسڠکڠ
sengkang,سڠکڠ,سيڠکڠ
sengkelat,سڠکلت,سڠکيلت
disengker,دسيڠکير,دسڠکر
kesengsem,کسيڠسيم,کسڠسم
seniwan,سنيوان,سنيون
senjang,سنجڠ,سينجڠ
senta,سنتا,سينتا
menyenta,مڽنتا,مڽينتا
disentak,دسينتق,دسنتق
disentakkan,دسينتقکن,دسنتقکن
sentak,سنتق,سينتق
menyentak,مڽنتق,مڽينتق
menyentakkan,مڽنتقکن,مڽينتقکن
disental,دسينتل,دسنتل
senter,سينتير,سينتر
menyenteri,مڽنتري,مڽينتيري
sentiare,سنتياري,سينتيارى
senyur,سڽور,سيڽور
sep,سڤ,سيڤ
sepah,سڤه,سيڤه
bersepah-sepah,برسيڤه-سڤه,برسيڤه-سيڤه
menyepah,مڽڤه,مڽيڤه
menyepahkan,مڽڤهکن,مڽيڤهکن
disepak,دسيڤق,دسڤق
penyepak,ڤڽيڤق,ڤڽڤق
sepakan,سڤاکن,سڤقن
tersepak,ترسيڤق,ترسڤق
sepak,سڤق,سيڤق
menyepak,مڽڤق,مڽيڤق
menyepakkan,مڽڤقکن,مڽيڤقکن
sepakan,سڤاکن,سيڤقن
sepasan,سڤسن,سڤاسن
sepelan,سڤلن,سڤيلن
sepeling,سڤليڠ,سڤيليڠ
sepeng,سڤيڠ,سيڤيڠ
seperadian,سڤرادين,سڤراديان
sepet,سڤت,سيڤيت
menyepetkan,مڽڤيتکن,مڽيڤيتکن
menyepion,مڽڤيون,مڽڤييون
septisemia,سڤتيسيميا,سيڤتيسيميا
diserah,دسيره,دسره
penyerah,ڤڽيره,ڤڽره
serahi,سرهي,سراهي
serah,سره,سيره
serai,سراي,سيراي
terserai,ترسراي,ترسيراي
serak,سرق,سيرق
seraman,سرمن,سرامن
seramik,سراميق,سيراميک
seran,سرن,سيرن
berserang,برسيرڠ,برسرڠ
diserang,دسيرڠ,دسرڠ
penyerang,ڤڽيرڠ,ڤڽرڠ
penyerangan,ڤڽيرڠن,ڤڽرڠن
serang,سرڠ,سيرڠ
seranggung,سرڠݢوڠ,سرڠ-ݢ-وڠ
serap,سرڤ,سيرڤ
diserapkan,دسرڤکن,دسيرڤکن
menyerapkan,مڽرڤکن,مڽيرڤکن
seraunometer,سراونوميتر,سيراونوميتر
seraya,سراي,سرايا
menyeraya,مڽراي,مڽرايا
seraya-menyeraya,سرايا-مڽراي,سرايا-مڽرايا
keserbasalahan,کسربسلهن,کسرباسالهن
serban-serba,سربن٢,سربن-سربا
serbarasa,سربراس,سرباراس
serebelum,سربلوم,سيريبيلوم
serem,سريم,سرم
seremban,سرمبن,سريمبن
sereng,سيريڠ,سريڠ
berserenjang,برسرينجڠ,برسرنجڠ
seresari,سرسري,سرساري
seret,سريت,سيريت
seretan,سرتن,سيريتن
seri,سري,سيري
berserif,برسريف,برسيريف
serigrafi,سريݢرافي,سيريݢرافي
serikaya,سريکاي,سريکايا
keseriusan,کسريوسن,کسيريوسن
sersi,سرسي,سيرسي
serta-menyertai,سرتا-مڽرتاي,سرتا-مڽرتاءي
sertipikat,سرتيڤيکت,سيرتيڤيکت
serum,سروم,سيروم
diserum,دسروم,دسيروم
menyerum,مڽروم,مڽيروم
disesah,دسيسه,دسسه
bersesak,برسيسق,برسسق
tersesak,ترسيسق,ترسسق
bersesal-sesalan,برسسل-سسلن,برسسلسسلن
sesi,سسي,سيسي
mengeset,مڠيسيت,مڠسيت
setan,ستن,سيتن
disetankan,دستنکن,دسيتنکن
kesetanan,کستنن,کسيتنن
mempersetankan,ممڤرستنکن,ممڤرسيتنکن
setandang,ستاندڠ,ستندڠ
setek,ستيق,ستيک
menyetel,مڽيتيل,مڽتيل
seteleng,ستيليڠ,سيتيلڠ
menyetelengkan,مڽتيليڠکن,مڽيتيلڠکن
seteling,ستليڠ,ستيليڠ
menyeteling,مڽتليڠ,مڽتيليڠ
seter,ستير,سيتير
seti,ستي,سيتي
setiausaha,ستياوسها,ستياءوسها
seting,ستيڠ,سيتيڠ
setinggan,ستيڠݢن,ستي-ڠ-ݢن
setoka,ستوک,ستوکا
setui,ستوي,ستوءي
menyewat,مڽيوات,مڽيوت
sewu,سوو,سيوو
siapa-siapa,سياڤ٢,سياڤا٢
siarah,سياره,سيارة
siarat,سيارت,سيارة
menyidai,مڽيداءي,مڽيداي
siddiq,صيديق,صديق
sidik,سيديق,صديق
sidratulmuntaha,ددرةالمنتها,سدرةالمنتهى
sifar,سيفر,صفر
disifatkan,دسيفتکن,دصيفتکن
sika,سيک,سيکا
sikhisme,سيخيسمى,سيکيسمى
silabik,سيلابيق,سيلابيک
silang-pukang,سيلڠ٢,سيلڠ-ڤوکڠ
silang-siur,سيلڠ٢,سيلڠ-سيور
silikone,سيليکوني,سيليکونى
menyimpai,مڽيمڤاءي,مڽيمڤاي
disimpirkan,دسيمڤيرکن,دسيڤيرکن
menyimpirkan,مڽيمڤيرکن,مڽيڤيرکن
sinar-x,سينر٢,سينر-ايکس
sinau-seminau,سيناو٢,سيناو-سميناو
mempersinggah,ممڤرسيڠݢه,ممڤرسيڠ-ݢه
singgang,سيڠݢڠ,سيڠݢ-ڠ
singgung,سيڠݢوڠ,سيڠݢ-وڠ
penyingkapan,ڤڽيڠکڤن,مڽيڠکڤن
sipahi,سيڤهي,سيڤاهي
sipesan,سيڤيسن,سيڤسن
sir,سير,سر
siratulmustakim,سراطالمستقيم,صراطالمستقيم
siren,سيرين,سيرن
sirene,سيريني,سيرينى
sirkuler,سيرکولر,سيرکولير
bersitegang,برسيتݢڠ,ب-رسيت-ݢڠ
siya,سيي,سييا
skabies,سکابيئس,سکابييس
sod,سود,صاد
sofistikated,سوفيستيکاتيد,سوفيستيکاتد
soga,سوݢا,سوݢ
sok,سوق,سوک
soka,سوک,سوکا
mengesol,مڠيسول,مڠسول
solat,سولت,صلاة
solder,سولدر,سولدير
soleh,صوليه,صالح
kesolehan,کصوليهن,کصالحن
solenoid,سولينوءيد,سولنوءيد
solider,سوليدر,سوليدير
kesolideran,کسوليدرن,کسوليديرن
solihin,صوليهن,صالحين
somet,سوميت,سومت
sorakan,سوراکن,سورقن
sosiobudaya,سوسيوبوداي,سوسيوبودايا
speaker,سڤياکر,سڤيکر
spekulan,سڤکولن,سڤيکولن
spermatozoon,سڤرماتوزوءن,سڤرماتوزون
spesies,سڤيسييس,سڤيسيس
spoiler,سڤوءيلر,سڤويلر
springbok,سڤريڠبوق,سڤريڠبوک
stabilisasi,ستبيليساسي,ستابيليساسي
stafaj,ستفج,ستافج
penstardardan,ڤنستردردن,ڤنستندردن
stengan,ستيڠن,ستينݢن
steppe,ستيڤي,ستيڤ
menstereotaipkan,منسيريوتاءيڤکن,منستيريوتاءيڤکن
disteril,دستريل,دستيريل
kesterilan,کستريلن,کستيريلن
stout,ستوءت,ستاءوت
starategis,ستاراتݢيس,ستراتيݢيس
strawberi,ستروبري,ستروبيري
sturgeon,ستورݢيون,ستورݢييون
bersubahat,برسوبهت,برسوباهت
persubahatan,ڤرسوبهتن,ڤرسوباهتن
subartik,سوبرتيک,سوبارتيک
subbudaya,سوببوداي,سوببودايا
subgenus,سوبݢنوس,سوبݢينوس
subhanahuwataala,سبحنهوةالالالالالالالالالالالالالالالالالالالا,سبحانهوتعالى
subjudice,سوبجودي,سوبجوديس
suborder,سوبوردر,سوبئوردر
subordinat,سوبوردينت,سوبئوردينت
subsidairi,سوبسيدايري,سوبسيدياري
subspesies,سوبسڤيسيئس,سوبسڤيسيس
ketidaksuburan,کتيدقصوبرن,کتيدقسوبورن
sesudah-sudahnya,سسوده٢ڽ,سسوده-سودهڽ
sufi,سوفي,صوفي
kesufian,کسوفين,کصوفين
